date,open,high,low,close,volume,outstanding_share,turnover
2013-12-26,3.9157427435305383,3.9370819410429663,3.8837339472618964,3.9050731447743243,4657847.0,9850714660.0,0.00047284356117975303
2013-12-27,3.9157427435305383,3.9370819410429663,3.8410555522370404,3.9264123422867523,4816023.0,9850714660.0,0.0004889008733098356
2013-12-30,3.9264123422867523,3.969090737311608,3.9264123422867523,3.9477515397991803,3761041.0,9850714660.0,0.00038180387208576396
2013-12-31,3.9264123422867523,3.9584211385553942,3.9050731447743243,3.9477515397991803,3348125.0,9850714660.0,0.0003398865072800718
2014-01-02,3.9264123422867523,3.9584211385553942,3.9157427435305383,3.9264123422867523,2500809.0,9850714660.0,0.00025387081915536876
2014-01-03,3.9264123422867523,3.9264123422867523,3.851725150993254,3.8623947497494684,3818162.0,9850714660.0,0.00038760253766197307
2014-01-06,3.8410555522370404,3.8410555522370404,3.745029163431114,3.755698762187328,5474601.0,9850714660.0,0.0005557567332886282
2014-01-07,3.745029163431114,3.78770755845597,3.7343595646749,3.755698762187328,3402258.0,9850714660.0,0.0003453818446102468
2014-01-08,3.766368360943542,3.819716354724612,3.745029163431114,3.755698762187328,2746725.0,9850714660.0,0.0002788350992596917
2014-01-09,3.755698762187328,3.78770755845597,3.7343595646749,3.745029163431114,2068232.0,9850714660.0,0.00020995755855139143
2014-01-10,3.745029163431114,3.78770755845597,3.713020367162472,3.745029163431114,3021721.0,9850714660.0,0.0003067514494425524
2014-01-13,3.713020367162472,3.777037959699756,3.713020367162472,3.755698762187328,2469192.0,9850714660.0,0.0002506612043110383
2014-01-14,3.777037959699756,3.819716354724612,3.7343595646749,3.809046755968398,2943517.0,9850714660.0,0.00029881253305940345
2014-01-15,3.819716354724612,3.819716354724612,3.78770755845597,3.809046755968398,2451803.0,9850714660.0,0.0002488959516770735
2014-01-16,3.809046755968398,3.8623947497494684,3.809046755968398,3.819716354724612,2626100.0,9850714660.0,0.0002665897948159631
2014-01-17,3.819716354724612,3.819716354724612,3.7343595646749,3.745029163431114,1873649.0,9850714660.0,0.00019020437244093313
2014-01-20,3.7343595646749,3.755698762187328,3.713020367162472,3.7343595646749,2303988.0,9850714660.0,0.00023389044140681667
2014-01-21,3.745029163431114,3.777037959699756,3.7343595646749,3.745029163431114,1648058.0,9850714660.0,0.00016730339441179185
2014-01-22,3.745029163431114,3.819716354724612,3.7343595646749,3.819716354724612,3382889.0,9850714660.0,0.0003434155913313197
