date,open,high,low,close,volume,outstanding_share,turnover,r_1,r_5,r_10,rsi_5,rsi_14,K,D,J
2009-12-18,9.66288637189219,9.66288637189219,9.288512763766523,9.349221997516631,13225864.0,2125685907.0,0.006221927687644965,-0.03950103950103945,-0.08785784797630809,-0.08605341246290799,9.974765313165477,32.5991229489303,13.133457343620176,23.996103051115945,-8.591834071371366
2009-12-21,9.359340203141649,9.490876876266885,9.359340203141649,9.46052225939183,6452408.0,2125685907.0,0.003035447513083597,0.011904761904761993,-0.07425742574257417,-0.09135082604470357,20.9069200876108,35.580535409307245,12.83237683819285,20.274860980141582,-2.052591445704614
2009-12-22,9.521231493141938,9.571822521267029,9.096266856891182,9.116503268141217,10689652.0,2125685907.0,0.005028801275295843,-0.03636363636363641,-0.10079840319361276,-0.1451612903225806,14.230350797257643,31.014014823556735,9.03800967956817,16.529243879950446,-5.9444587211963835
2009-12-23,9.136739679391253,9.25815814689147,9.116503268141217,9.217685324391397,6768728.0,2125685907.0,0.0031842559513191523,0.01109877913429515,-0.08257804632426999,-0.11295034079844218,23.24225571027121,33.70886223869118,9.15033978637875,14.069609182093215,-0.6881990050501834
2009-12-24,9.268276352516487,9.46052225939183,9.217685324391397,9.46052225939183,11436545.0,2125685907.0,0.00538016692039912,0.02634467618002208,-0.02806652806652793,-0.08423114593535748,41.63854828107782,39.7881309837059,16.184260137697887,14.77449283396144,19.003794745170776
2009-12-25,9.450404053766812,9.46052225939183,9.359340203141649,9.409931231266741,7737403.0,2125685907.0,0.0036399559194142035,-0.005347593582887569,0.006493506493506714,-0.08193484698914105,39.192421421897805,38.985995109954395,19.69755273547679,16.415512801133225,26.26163260416392
2009-12-28,9.420049436891759,9.581940726892046,9.420049436891759,9.531349698766956,10024355.0,2125685907.0,0.00471582135770353,0.012903225806451483,0.007486631016042784,-0.06732673267326725,48.30342866559257,42.00775695120873,26.52734045293468,19.786122018400377,40.00977732200329
2009-12-29,9.56170431564201,9.581940726892046,9.46052225939183,9.541467904391974,9103588.0,2125685907.0,0.0042826590560822685,0.0010615711252653667,0.04661487236403998,-0.058882235528942076,49.09789084462002,42.26436959412685,32.35156030195645,23.9746014462524,49.10547801336453
2009-12-30,9.592058932517064,9.845014073142513,9.480758670641865,9.733713811267314,18725476.0,2125685907.0,0.00880914529203773,0.020148462354188636,0.05598243688254663,-0.031218529707955807,62.708669682981125,47.057820089863185,49.9460852463493,32.63176271295137,84.57473031314515
2009-12-31,9.723595605642297,9.794423045017423,9.592058932517064,9.733713811267314,11536580.0,2125685907.0,0.005427227024467449,0.0,0.028877005347593437,0.0,62.70866968298112,47.057820089863185,61.67576854261121,42.313097989504655,100.40110964882433
2010-01-04,9.824777661892478,9.855132278767531,9.683122783142226,9.693240988767243,9842029.0,2125685907.0,0.004630048572834613,-0.004158004158004057,0.03010752688172025,0.03679653679653685,57.63888852289441,46.12285314640078,67.3394012506297,50.65519907654634,100.70780559879645
2010-01-05,9.693240988767243,9.845014073142513,9.500995081891903,9.834895867517496,15515142.0,2125685907.0,0.007298887360972658,0.014613778705636751,0.03184713375796175,0.03957219251336895,68.70725149240334,49.876541464815496,77.3130254912874,59.54114121479336,112.85679404427547
2010-01-06,9.774186633767387,9.824777661892478,9.642649960642153,9.65276816626717,11049217.0,2125685907.0,0.005197953735128188,-0.018518518518518604,0.011664899257688129,0.05882352941176463,48.387983696139194,45.48837406774491,74.29333974551434,64.45854072503369,93.96293778647566
2010-01-07,9.642649960642153,9.673004577517208,9.409931231266741,9.430167642516777,13257058.0,2125685907.0,0.0062366024803306,-0.02306079664570211,-0.031185031185030968,0.023051591657519417,33.32918420392157,40.76736966075943,54.29079792558112,61.06929312521616,40.73380752631104
2010-01-08,9.409931231266741,9.521231493141938,9.318867380641578,9.480758670641865,8656010.0,2125685907.0,0.004072102078437499,0.005364806866952657,-0.0259875259875259,0.002139037433155028,38.744860464172866,42.23471691917053,46.256758365481744,56.13178153863802,26.506712019169186
2010-01-11,9.632531755017135,9.703359194392261,9.46052225939183,9.480758670641865,8519898.0,2125685907.0,0.004008070040801188,0.0,-0.021920668058455127,0.0075268817204299215,38.744860464172866,42.23471691917054,40.90073199208216,51.05476502311941,20.592665930007655
2010-01-12,9.470640465016848,9.632531755017135,9.389694820016704,9.632531755017135,11596273.0,2125685907.0,0.005455308783773199,0.01600853788687298,-0.020576131687242833,0.010615711252653853,55.636843758618404,46.818490603527124,46.764010007300044,49.62451335117962,41.04300331954089
2010-01-13,9.420049436891759,9.56170431564201,9.369458408766668,9.409931231266741,11802528.0,2125685907.0,0.005552338640969312,-0.023109243697478795,-0.025157232704402267,-0.01378579003181321,36.954056657242795,41.60404732283039,36.83638403002402,45.36180357746109,19.785544935149886
2010-01-14,9.409931231266741,9.76406842814237,9.379576614391686,9.673004577517208,15398886.0,2125685907.0,0.007244196308255432,0.027956989247311704,0.02575107296137332,-0.006237006237006085,57.85886173081336,48.85403498311962,46.57016796970159,45.76459170820793,48.18132049268891
2010-01-15,9.683122783142226,9.794423045017423,9.6122953437671,9.723595605642297,15158072.0,2125685907.0,0.0071309086399282415,0.005230125523012424,0.025613660618996732,-0.0010395010395010142,60.969833355507085,50.13613468730861,56.68780428749333,49.40566256796973,71.25208772654054
2010-01-18,10.118205625018,10.26997870939327,9.925959718142659,9.936077923767677,33723364.0,2125685907.0,0.01586469754959899,0.021852237252861798,0.04802561366061913,0.025052192066805964,71.8715500503676,55.21405770604906,59.42307519875446,52.74480011156464,72.77962537313408
2010-01-19,9.895605101267604,10.16879665314309,9.86525048439255,10.047378185642874,19897088.0,2125685907.0,0.009360314209393683,0.011201629327902142,0.04306722689075635,0.02160493827160495,76.22046782002666,57.64705623988024,65.14729835945333,56.878966194194206,81.6839626899716
2010-01-20,10.047378185642874,10.259860503768252,9.774186633767387,10.097969213767964,33159472.0,2125685907.0,0.015599422233926491,0.00503524672708968,0.07311827956989236,0.04612159329140477,78.14072127591263,58.744159665748484,70.73649677864267,61.49814305567703,89.21320422457396
2010-01-21,10.057496391267891,10.219387681268179,9.885486895642586,10.15867844751807,25632372.0,2125685907.0,0.012058400498206813,0.006012024048096044,0.05020920502092037,0.07725321888411996,80.50243321293843,60.08049379325104,76.37114766516251,66.45581125883886,96.2018204778098
2010-01-22,10.01702356876782,10.047378185642874,9.683122783142226,9.774186633767387,17177436.0,2125685907.0,0.008080890946039471,-0.03784860557768919,0.0052029136316337704,0.03094983991462112,43.38983062737556,49.20895963011937,65.89537185168135,66.2689981231197,65.14811930880464
2010-01-25,9.673004577517208,9.814659456267458,9.490876876266885,9.500995081891903,9161467.0,2125685907.0,0.004309887443780282,-0.02795031055900607,-0.04378818737270875,0.002134471718249868,30.78490264163652,43.22417041382462,48.79916175879882,60.44571933501274,25.506046606370973
2010-01-26,9.521231493141938,9.6122953437671,9.116503268141217,9.14685788501627,11056367.0,2125685907.0,0.005201317355302012,-0.03727369542066048,-0.08962739174219546,-0.05042016806722695,20.93179573178159,36.95059558623158,33.409967488321996,51.4338020527825,-2.637701640599005
